City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Great Bend,US,38.3645,-98.7648,296.22,78,40,0.0
1,Cape Town,ZA,-33.9258,18.4232,289.2,81,75,8.75
2,Carnarvon,AU,-24.8667,113.6333,294.3,55,100,3.12
3,Hobart,AU,-42.8794,147.3294,279.07,83,75,5.14
4,Blantyre,MW,-15.785,35.0085,285.61,77,0,3.01
5,Russell,US,32.3502,-85.1999,305.93,55,0,1.54
6,Leningradskiy,RU,69.3833,178.4167,277.42,79,95,2.78
7,Casino,AU,-28.8667,153.05,281.36,94,0,1.47
8,Maniitsoq,GL,65.4167,-52.9,278.5,87,91,0.82
9,Pisco,PE,-13.7,-76.2167,291.18,72,75,4.12
10,Sept-Iles,CA,50.2001,-66.3821,292.44,85,20,8.23
11,Saldanha,ZA,-33.0117,17.9442,288.18,87,14,4.99
12,Ushuaia,AR,-54.8,-68.3,280.96,53,75,7.72
13,Rikitea,PF,-23.1203,-134.9692,296.18,73,91,9.55
14,Ribeira Grande,PT,38.5167,-28.7,297.37,69,75,2.57
15,Atuona,PF,-9.8,-139.0333,298.0,77,28,11.16
16,Lebu,CL,-37.6167,-73.65,284.5,78,0,6.46
17,Deputatskiy,RU,69.3,139.9,283.28,55,100,1.92
18,Bredasdorp,ZA,-34.5322,20.0403,284.71,74,0,2.83
19,Waingapu,ID,-9.6567,120.2641,295.48,82,100,4.78
20,Abu Dhabi,AE,24.4667,54.3667,306.16,63,0,3.09
21,Camacha,PT,33.0833,-16.3333,293.83,83,75,6.69
22,Araouane,ML,18.9048,-3.5265,312.62,17,76,3.9
23,Mataura,NZ,-46.1927,168.8643,281.75,98,100,1.4
24,Koumac,NC,-20.5667,164.2833,292.72,82,0,3.1
25,Mar Del Plata,AR,-38.0023,-57.5575,283.2,96,100,8.23
26,Miraflores,MX,19.2167,-98.8083,294.51,68,72,1.61
27,Busselton,AU,-33.65,115.3333,288.6,83,100,8.28
28,Punta Arenas,CL,-53.15,-70.9167,280.21,81,75,12.86
29,San Cristobal,VE,7.7669,-72.225,296.25,60,99,3.04
30,Bar-Le-Duc,FR,48.75,5.1667,296.36,41,94,3.2
