City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ishigaki,JP,2022-07-26 02:02:59,24.3448,124.1572,302.49,73,24,1.08
1,Chalatenango,SV,2022-07-26 02:02:59,14.0333,-88.9333,292.91,95,99,0.43
2,Hassan,IN,2022-07-26 02:03:00,13.0006,76.0994,293.04,89,100,4.28
3,Busselton,AU,2022-07-26 02:03:00,-33.65,115.3333,289.75,80,100,8.77
4,Iskateley,RU,2022-07-26 02:03:01,67.6803,53.1512,281.92,91,100,8.94
5,Kavieng,PG,2022-07-26 02:03:01,-2.5744,150.7967,302.1,73,64,6.61
6,Codrington,AU,2022-07-26 02:03:02,-38.2667,141.9667,285.17,62,88,10.56
7,Arraial Do Cabo,BR,2022-07-26 02:00:04,-22.9661,-42.0278,294.49,88,8,8.24
8,Norman Wells,CA,2022-07-26 02:03:03,65.282,-126.8329,298.35,35,14,4.83
9,Meulaboh,ID,2022-07-26 02:03:03,4.1363,96.1285,297.35,92,100,1.65
10,Carnarvon,AU,2022-07-26 01:59:33,-24.8667,113.6333,291.72,36,0,3.23
11,Hovd,MN,2022-07-26 02:03:04,48.0056,91.6419,289.24,36,0,2.02
12,Jamestown,US,2022-07-26 01:58:31,42.097,-79.2353,291.77,80,24,0.45
13,Georgetown,MY,2022-07-26 02:00:50,5.4112,100.3354,302.11,81,20,0.0
14,Mataura,NZ,2022-07-26 01:58:51,-46.1927,168.8643,280.64,97,100,4.85
15,Bredasdorp,ZA,2022-07-26 02:03:06,-34.5322,20.0403,281.45,63,0,2.21
16,Bosaso,SO,2022-07-26 02:03:06,11.2842,49.1816,303.88,42,57,11.81
17,Katsuura,JP,2022-07-26 02:03:07,35.1333,140.3,301.16,87,100,7.91
18,Qaanaaq,GL,2022-07-26 02:03:07,77.484,-69.3632,278.47,68,0,0.71
19,Avarua,CK,2022-07-26 01:59:18,-21.2078,-159.775,296.18,68,75,2.57
20,Vila Franca Do Campo,PT,2022-07-26 02:03:08,37.7167,-25.4333,295.38,93,34,1.3
21,Yulara,AU,2022-07-26 02:02:07,-25.2406,130.9889,287.87,37,0,7.78
22,Ushuaia,AR,2022-07-26 02:03:09,-54.8,-68.3,268.15,94,71,2.41
23,Bandarbeyla,SO,2022-07-26 01:59:39,9.4942,50.8122,298.39,69,100,12.13
24,Evensk,RU,2022-07-26 02:03:10,61.95,159.2333,287.45,66,52,4.1
25,Bambanglipuro,ID,2022-07-26 02:03:10,-7.95,110.2833,298.8,68,89,3.21
26,Hobart,AU,2022-07-26 01:58:55,-42.8794,147.3294,288.07,77,20,3.09
27,Husavik,IS,2022-07-26 02:02:47,66.0449,-17.3389,282.64,83,100,0.22
28,Klaksvik,FO,2022-07-26 01:59:43,62.2266,-6.589,281.66,84,40,4.11
29,Esperance,AU,2022-07-26 02:03:12,-33.8667,121.9,287.45,51,3,9.46
30,Ventspils,LV,2022-07-26 02:03:12,57.3894,21.5606,290.11,94,0,3.09
31,Alice Springs,AU,2022-07-26 02:00:57,-23.7,133.8833,287.9,44,0,8.23
32,Kapaa,US,2022-07-26 02:00:32,22.0752,-159.319,301.14,70,0,3.13
33,Butaritari,KI,2022-07-26 02:03:13,3.0707,172.7902,301.25,69,99,6.41
34,Arandis,NA,2022-07-26 02:03:14,-22.4167,14.9667,286.12,55,3,1.59
35,Aksarka,RU,2022-07-26 02:03:14,66.5606,67.7975,284.7,69,90,8.83
36,Nikolskoye,RU,2022-07-26 01:58:57,59.7035,30.7861,288.6,90,80,1.04
37,The Valley,AI,2022-07-26 02:03:15,18.217,-63.0578,300.98,80,90,9.18
38,Saskylakh,RU,2022-07-26 02:00:22,71.9167,114.0833,296.32,62,93,3.13
39,Tuktoyaktuk,CA,2022-07-26 02:03:16,69.4541,-133.0374,288.37,57,100,7.04
40,Lebu,CL,2022-07-26 01:59:54,-37.6167,-73.65,284.98,86,11,11.72
41,Kimberley,ZA,2022-07-26 02:03:17,-28.7323,24.7623,281.82,33,0,3.54
42,Hermanus,ZA,2022-07-26 02:03:17,-34.4187,19.2345,281.37,51,0,3.67
43,New Norfolk,AU,2022-07-26 02:03:18,-42.7826,147.0587,287.99,79,98,0.24
44,Barrow,US,2022-07-26 02:00:26,71.2906,-156.7887,276.16,87,100,11.83
45,Vianopolis,BR,2022-07-26 02:03:18,-16.7419,-48.5164,289.63,54,0,2.58
46,Punta Arenas,CL,2022-07-26 02:00:48,-53.15,-70.9167,272.1,74,8,4.32
47,Faanui,PF,2022-07-26 02:02:08,-16.4833,-151.75,298.5,76,83,4.33
48,Hualmay,PE,2022-07-26 02:04:20,-11.0964,-77.6139,289.74,84,64,4.94
49,San Patricio,US,2022-07-26 02:04:20,28.017,-97.5169,303.2,66,32,6.61
50,Rikitea,PF,2022-07-26 02:04:21,-23.1203,-134.9692,297.34,74,44,4.98
51,Grindavik,IS,2022-07-26 02:04:21,63.8424,-22.4338,283.41,100,75,3.6
52,Tual,ID,2022-07-26 02:04:22,-5.6667,132.75,299.47,83,45,9.86
53,Tasiilaq,GL,2022-07-26 02:04:22,65.6145,-37.6368,278.24,89,100,1.09
54,Graaff-Reinet,ZA,2022-07-26 02:04:23,-32.2522,24.5308,282.24,38,0,3.91
55,Chokurdakh,RU,2022-07-26 02:04:23,70.6333,147.9167,290.41,33,46,6.74
56,Lompoc,US,2022-07-26 02:00:54,34.6391,-120.4579,297.23,76,0,4.47
57,Saint-Philippe,RE,2022-07-26 02:04:24,-21.3585,55.7679,291.05,83,59,5.1
58,Cape Town,ZA,2022-07-26 02:04:25,-33.9258,18.4232,287.8,63,1,1.83
59,Talnakh,RU,2022-07-26 02:00:40,69.4865,88.3972,289.38,57,31,3.21
60,Geraldton,AU,2022-07-26 02:04:26,-28.7667,114.6,284.38,76,45,5.66
61,Kabinda,CD,2022-07-26 02:04:26,-6.1333,24.4833,294.66,37,57,2.52
62,Port Alfred,ZA,2022-07-26 02:04:27,-33.5906,26.891,282.69,85,0,0.45
63,Pevek,RU,2022-07-26 02:04:27,69.7008,170.3133,276.7,74,71,7.1
64,Port Hedland,AU,2022-07-26 02:00:49,-20.3167,118.5667,296.18,28,5,6.17
65,College Station,US,2022-07-26 02:03:02,30.628,-96.3344,307.23,48,0,7.72
66,Sao Joao Da Barra,BR,2022-07-26 02:04:19,-21.6403,-41.0511,294.61,83,0,4.89
67,Seydi,TM,2022-07-26 02:04:29,39.4816,62.9137,302.18,26,0,11.1
68,Acari,PE,2022-07-26 02:04:29,-15.4311,-74.6158,291.19,72,59,1.45
69,Ahar,IR,2022-07-26 02:04:30,38.4774,47.0699,288.96,86,68,2.25
70,Hamina,FI,2022-07-26 02:04:31,60.5697,27.1979,289.75,78,100,4.15
71,Port Moresby,PG,2022-07-26 02:04:31,-9.4431,147.1797,301.62,71,25,6.17
72,Upernavik,GL,2022-07-26 02:04:32,72.7868,-56.1549,276.84,89,80,4.41
73,Kaitangata,NZ,2022-07-26 02:04:32,-46.2817,169.8464,280.29,93,100,7.87
74,East London,ZA,2022-07-26 02:00:39,-33.0153,27.9116,285.9,72,0,5.64
75,Drumnadrochit,GB,2022-07-26 02:04:33,57.3344,-4.4799,284.05,93,100,2.29
76,Ilhabela,BR,2022-07-26 02:04:34,-23.7781,-45.3581,292.01,85,72,1.51
77,Kalmunai,LK,2022-07-26 02:00:24,7.4167,81.8167,300.39,75,98,2.06
78,Yeppoon,AU,2022-07-26 02:01:40,-23.1333,150.7333,295.03,67,2,1.11
79,Hasaki,JP,2022-07-26 02:04:35,35.7333,140.8333,300.37,82,100,9.13
80,Saint-Augustin,CA,2022-07-26 02:04:35,51.226,-58.6502,288.28,99,100,0.99
81,Angoche,MZ,2022-07-26 02:03:53,-16.2325,39.9086,294.47,73,7,4.61
82,Airai,TL,2022-07-26 02:04:36,-8.9266,125.4092,295.27,36,15,1.93
83,Saint George,US,2022-07-26 01:59:48,37.1041,-113.5841,298.84,64,100,3.2
84,Ibipeba,BR,2022-07-26 02:04:37,-11.6408,-42.0111,290.62,78,98,3.0
85,Cherskiy,RU,2022-07-26 02:04:38,68.75,161.3,287.38,38,56,6.31
86,Itupiranga,BR,2022-07-26 02:04:38,-5.1347,-49.3267,297.33,61,19,0.94
87,Castro,BR,2022-07-26 02:04:39,-24.7911,-50.0119,287.4,76,45,1.28
88,Victoria,HK,2022-07-26 02:00:55,22.2855,114.1577,306.46,74,23,4.47
89,Piacabucu,BR,2022-07-26 02:04:39,-10.4056,-36.4344,295.52,79,99,3.9
90,Provideniya,RU,2022-07-26 02:04:40,64.3833,-173.3,283.35,62,75,7.15
91,Suzhou,CN,2022-07-26 02:01:55,31.3114,120.6181,306.34,57,19,3.23
92,Hithadhoo,MV,2022-07-26 02:05:41,-0.6,73.0833,301.42,74,25,5.75
93,Bakchar,RU,2022-07-26 02:05:41,57.0186,82.0711,288.94,88,96,1.36
94,Urumqi,CN,2022-07-26 02:05:42,43.801,87.6005,296.68,41,0,4.0
95,Ostrovnoy,RU,2022-07-26 02:05:42,68.0531,39.5131,285.05,71,97,6.03
96,Xingyi,CN,2022-07-26 02:05:43,24.1877,102.817,295.93,65,0,2.37
